action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,42432,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=C(C#N)C#N)c1ccc(N)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL77280,,CHEMBL77280,,0,http://www.openphacts.org/units/Nanomolar,137181,>,1,1,>,,IC50,nM,,1250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1250.0
,Not Active,42433,[],CHEMBL674645,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation (inactive),B,,,BAO_0000190,BAO_0000357,single protein format,O=[N+]([O-])c1ccc(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,,CHEMBL42423,4-Nitrocatechol,CHEMBL42423,,0,http://www.openphacts.org/units/Nanomolar,137226,,1,0,,,IC50,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,
,,43662,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL76557,,CHEMBL76557,,0,http://www.openphacts.org/units/Nanomolar,137178,=,1,1,=,,IC50,nM,,625000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,625.0
,,44685,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '23.97', 'le': '0.43', 'lle': '2.74', 'sei': '9.40'}",CHEMBL336113,,CHEMBL336113,6.00,0,http://www.openphacts.org/units/Nanomolar,262227,=,1,1,=,,IC50,nM,,1000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1.0
,,44690,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '22.38', 'le': '0.43', 'lle': '2.56', 'sei': '9.39'}",CHEMBL133024,,CHEMBL133024,7.00,0,http://www.openphacts.org/units/Nanomolar,262245,=,1,1,=,,IC50,nM,,100.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.1
,,44695,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '15.91', 'le': '0.29', 'lle': '0.91', 'sei': '8.55'}",CHEMBL344652,,CHEMBL344652,4.88,0,http://www.openphacts.org/units/Nanomolar,262234,=,1,1,=,,IC50,nM,,13350.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,13.35
,,44885,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=CNc1ccc(O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL77814,,CHEMBL77814,,0,http://www.openphacts.org/units/Nanomolar,137223,=,1,1,=,,IC50,nM,,350000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,350.0
,,44886,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=CN/C=C/c1cc(O)ccc1O,,,CHEMBL1124610,J Med Chem,1989,"{'bei': '27.09', 'le': '0.51', 'lle': '4.04', 'sei': '6.98'}",CHEMBL47986,ERBSTATIN,CHEMBL47986,4.85,0,http://www.openphacts.org/units/Nanomolar,137221,=,1,1,=,,IC50,nM,,14000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,14.0
,Not Active,44964,[],CHEMBL674646,Inhibition of EGF-dependent epidermal growth factor receptor autophosphorylation (inactive),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccc(O)cc1,,,CHEMBL1124610,J Med Chem,1989,,CHEMBL441343,PARABEN,CHEMBL441343,,0,http://www.openphacts.org/units/Nanomolar,137240,,1,0,,,IC50,nM,,,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,
,,45867,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '15.25', 'le': '0.32', 'lle': '1.11', 'sei': '7.57'}",CHEMBL138125,,CHEMBL138125,6.62,0,http://www.openphacts.org/units/Nanomolar,262239,=,1,1,=,,IC50,nM,,238.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.238
,,45872,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '15.76', 'le': '0.34', 'lle': '2.94', 'sei': '8.27'}",CHEMBL137364,,CHEMBL137364,7.19,0,http://www.openphacts.org/units/Nanomolar,262236,=,1,1,=,,IC50,nM,,64.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.064
,,45958,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL308339,,CHEMBL308339,,0,http://www.openphacts.org/units/Nanomolar,137222,=,1,1,=,,IC50,nM,,1400000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1400.0
